FILTER,USERNAME,URL,TWEET,TIMESTAMP,,,,
x,Micheldaou83,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,"#earthquake felt in Dubai, UAE, just minutes ago @unb_elie_vable",2013-09-24T11:40:37.000Z,,,,:
x,aliparas,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,"RT @husainhaqqani: Folks, in case of earthquake tremors, making sure you're safe is more important than tweeting #Karachi #Pakistan",2013-09-24T11:40:25.000Z,,Pakistan,70,30.0:
x,affanjaved,https://pbs.twimg.com/media/BMSHWQqCUAAM3Un.jpg,#2030NOW Abrar Mir talking about branch less banking  and financial inclusion for #pakistan #SocialGoodSummit,2013-09-24T11:41:22.000Z,Punjab,Pakistan,74.34361,31.54972:
x,afnalerts,https://pbs.twimg.com/media/BMSHWQqCUAAM3Un.jpg,"#BALOCHISTAN OR #KARACHI: MUKHTALIF ELAKON MA ZALZALY K JHATKY, SHAHRAH E FAISAL PA EMARAAT KHALI KARA LI GAYEN. 04:38pm",2013-09-24T11:41:17.000Z,Sindh,Pakistan,67.0822,24.9056:
x,SaqibSurani,https://pbs.twimg.com/media/BU4ahhKCEAAHVkg.jpg,"#earthquake, felt like I was on a boat, quite long. #Quetta",2013-09-24T11:42:37.000Z,,,,:
x,SportsNews_Roy,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,#Earthquake: PDMA issues alert warning to coastal areas.. #Pakistan,2013-09-24T11:42:13.000Z,Sindh,Pakistan,67.0822,24.9056:
x,GhareeboAjeeb,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,"RT @SameerSiddiki: #EarthQuake jokes are not cool. Stop being so 'K3wl' and behave like a human.May Allah bless #Pakistan, and #Karachi.",2013-09-24T11:42:43.000Z,Sindh,Pakistan,67.0822,24.9056:
x,iamhacker,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,"Quake of 7.8 magnitude strikes 145 miles South-South East of Dalbandin in Balochistan, #Pakistan",2013-09-24T11:43:18.000Z,NCT,India,77.22445,28.63576:
x,Samaa_Tv,https://pbs.twimg.com/media/BU7Or2bCMAErWJm.jpg,Quetta : #Balochistan Aur Mulk Kay Mukhtalif Elaqon Main Zalzalay Kay Jhatkay Mehsoos Kiye Gaye,2013-09-24T11:43:35.000Z,Balochist_Ñ¬Ån,Pakistan,67.00971,30.199:
x,wahaz,https://pbs.twimg.com/media/BU7O53mCAAALCy3.jpg,Huge 7.7 Magnitude Earthquake strikes Karachi #Pakistan OMG That's huge,2013-09-24T11:44:32.000Z,,,,:
x,fatimakhalil44,https://pbs.twimg.com/media/BU7PHGICMAAN_5O.jpg,"#EartQuake observed in different cities of #Pakistan almost in all provinces. We wish safety , peace from Allah...",2013-09-24T11:45:18.000Z,,,,:
x,kattitudette,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,"Earthquake, #Earthquake... E..a..r..t..h..q..u..a..k..e.. in #Delhi #india",2013-09-24T11:46:39.000Z,NCT,India,77.22445,28.63576:
x,dannews,https://pbs.twimg.com/media/BU6nZQWCQAAMacd.jpg,"RT @EconomicTimes: #Earthquake of 7.8 magnitude strikes 145 miles South-South East of Dalbandin in #Balochistan, Pakistan - USGS (Reuters)_¢‚Ç¨¬ù",2013-09-24T11:46:55.000Z,Auckland,New Zealand,174.78333,-36.85:
x,raiseqalam,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,my God felt my bed moving as I was on skype i thot my son was shaking it but #Karachi quake 7.7 magnitude in #Balochistan,2013-09-24T11:46:37.000Z,,,,:
x,sanarites,https://pbs.twimg.com/media/BU7PiOMCUAA2vq4.jpg,"RT @anthonypermal: It was a liberal earthquake. You know, the kind that originates in #Pakistan and then travels to Delhi.",2013-09-24T11:46:55.000Z,Sindh,Pakistan,67.0822,24.9056:
x,farah_lodhi,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,RT @KhanRahila: 7.7 #Eartquake : Allah Rehem Farmana #Sindh #Pakistan,2013-09-24T11:47:19.000Z,,Pakistan,70,30.0:
x,RudyABC15,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,"JUST IN: 7.8 magnitude #earthquake reported in #Pakistan, shaking felt across region. - @Reuters",2013-09-24T11:47:37.000Z,Arizona,United States,-112.07404,33.44838:
x,uzairmukthar,https://pbs.twimg.com/media/BU7PxilCEAAKHC2.jpg,Jis Ko Zalzaly Se Bachna Hai Twitter Pr Aaje #earthquake,2013-09-24T11:47:57.000Z,Sindh,Pakistan,67.0822,24.9056:
x,juanche33,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,RT @RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T11:47:46.000Z,New Jersey,United States,-74.49987,40.16706:
x,hala_najeeb,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,"Chalo Beta, ab #earthquake trend kurdo jalidi say.",2013-09-24T11:47:59.000Z,,Pakistan,70,30.0:
x,arishkb,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,RT @WasayJalil: #Karachi mein bhee Zalzalay  Kay jhatkay mehsoos kiay gai Qasam say #MQM ka is say koi talluq Nahi hay #Pakistan #EarthQuake,2013-09-24T11:48:48.000Z,,,,:
x,pakistani_news,https://pbs.twimg.com/media/BU7QN6tCUAASNA7.jpg,Nairobi Live: `White Widow` entered Kenya with South African passport? - Zee News: IBNLiveNair... http://t.co/GcOYDhtht8 #pakistan #news,2013-09-24T11:49:57.000Z,,,,:
x,serdar__onal,https://pbs.twimg.com/media/BU7PxilCEAAKHC2.jpg,"RT @AlArabiya_Eng: #BreakingNews:   Quake of 7.8 magnitude strikes 145 miles south-south east of Dalbandin in Baluchistan, #Pakistan",2013-09-24T11:49:11.000Z,Tekirda_Ñ__,Turkey,27.5,41.0:
x,Ramxanali,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,RT @WasayJalil: #Karachi mein bhee Zalzalay  Kay jhatkay mehsoos kiay gai Qasam say #MQM ka is say koi talluq Nahi hay #Pakistan #EarthQuake,2013-09-24T11:50:35.000Z,,United Arab Emirates,54,24.0:
x,FaizyTweets,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,Aren't we lucky that we survived two different #earthquakes of magnitude 7.8 between 6 months?? #Karachi #Pakistan,2013-09-24T11:50:30.000Z,,,,:
x,FatmaDemirelli,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,"RT @AlArabiya_Eng Quake of 7.8 magnitude strikes 145 miles south-south east of Dalbandin in Baluchistan, #Pakistan",2013-09-24T11:51:07.000Z,,,,:
x,fatimahamdani3,https://pbs.twimg.com/media/BU7PHGICMAAN_5O.jpg,Exclusive news video of a glass moving. Wow. #Earthquake #Karachi,2013-09-24T11:51:37.000Z,Sindh,Pakistan,67.0822,24.9056:
x,Fezmizter,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,RT @RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T11:51:02.000Z,,,,:
x,a2zStuff,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,"#Pakistan: #Earthquake shakes #Karachi, #Hyderabad, #Khuzdar, #Gwadar and some parts of #Sindh, #Balochistan More: http://t.co/pzdWb5YqnQ",2013-09-24T11:51:06.000Z,,,,:
x,Mahipal26Singh,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,"RT @TheUnRealTimes: Tremors in NCR. Epicenter in Pak. Once again, Pak is the source of instability #Earthquake",2013-09-24T11:51:19.000Z,,,,:
x,shafeeu,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,RT @RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T11:52:33.000Z,,Maldives,73,3.2:
x,marahami,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,RT @LastQuake: Major M7.3 #earthquake shakes #Pakistan 17 min ago. Felt it? Report to: http://t.co/NOip61cFM7,2013-09-24T11:52:14.000Z,Kanagawa,Japan,139.6425,35.44778:
x,Duvlek,https://pbs.twimg.com/media/BU7Q0xWCEAAUXkG.jpg,RT @RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T11:52:46.000Z,,,,:
x,FaisalAzfarAlvi,https://pbs.twimg.com/media/BU7QyuoCcAApNcX.jpg,#Pakistan #News Earthquake strikes Pakistan http://t.co/r5swlczrGY,2013-09-24T11:52:21.000Z,Isl_Ñ¬Åm_Ñ¬Åb_Ñ¬Åd,Pakistan,73.04329,33.72148:
x,ZeeshanHumayun,https://pbs.twimg.com/media/BU7QyuoCcAApNcX.jpg,Waiting for Pak Media to blame Imran Khan for #Earthquake,2013-09-24T11:52:44.000Z,,,,:
x,asmaalizain,https://pbs.twimg.com/media/BU3-VSfCUAAjz_I.jpg,"_¢‚Ç¨_ì@Rimmel_Mohydin: MT @CNBCPAKISTAN 7.7 earthquake rocks #Karachi and parts of Sindh and Balochistan, epicenter Khuzdar #Balochistan_¢‚Ç¨¬ù",2013-09-24T11:52:46.000Z,,,,:
x,Soleha_Abdul,https://pbs.twimg.com/media/BU7QyuoCcAApNcX.jpg,Earthquake also felt in India and Dubai.#earthquake #pakistan,2013-09-24T11:52:09.000Z,Sindh,Pakistan,67.0822,24.9056:
x,54noori,https://pbs.twimg.com/media/BU7RBlDCcAE22G-.jpg,"RT @Takhaan: Blame MQM ? ""@farah_lodhi: #EarthQuake in #Karachi, #Quetta, #Larkana &amp; d/f parts of #Sindh &amp; #Balochistan""",2013-09-24T11:53:03.000Z,,,,:
x,shaheerakhlaq,https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-ash3/q71/554126_581989545181002_419305473_n.jpg,RT @aurAdil: Jolts felt for approx 2 mins in #Karachi nd hyderabad.  #earthquake #pakistan,2013-09-24T11:53:44.000Z,Sindh,Pakistan,67.0822,24.9056:
x,ShehryarRS,https://pbs.twimg.com/media/BU7QyuoCcAApNcX.jpg,"RT @jomalhotra: With ex-army chief's admissions boiling the pot, here's a limited offer to #Pakistan.Want #Kashmir? Only if u take #VKSingh_¢‚Ç¨¬¶",2013-09-24T11:53:32.000Z,,Pakistan,70,30.0:
x,shuvankr,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,Massive #earthquake in Pakistan Magnitude 7.4 depth 23 Km http://t.co/KqUdqIBODg,2013-09-24T11:53:49.000Z,,,,:
x,Tushar_Riddle,https://scontent-b-ord.xx.fbcdn.net/hphotos-ash3/s720x720/539141_10151582619227396_605963051_n.png,Hoping all is well in Pakistan. Enough troubles already. #earthquake,2013-09-24T11:53:39.000Z,,India,77,20.0:
x,_darkhours,https://pbs.twimg.com/media/BU7QyuoCcAApNcX.jpg,RT @LastQuake: Powerful #earthquake shakes Pakistan 21 min ago. Effects derived from witnesses' reports: http://t.co/W1WEOdqD0h,2013-09-24T11:53:24.000Z,,,,:
x,SirFauzanSaifi,http://d3j5vwomefv46c.cloudfront.net/photos/large/810834194.jpg?1380023528,@RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T11:53:51.000Z,Selangor,Malaysia,101.5767,3.3213:
x,ThisIsPriyankar,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,"Felt it again :-(""@EconomicTimes: #Earthquake shakes building in New Delhi. (Reuters)""",2013-09-24T11:53:09.000Z,NCT,India,77.22445,28.63576:
x,SidBwg,https://pbs.twimg.com/media/BU7QyuoCcAApNcX.jpg,"RT @iMudassir: 7.7 Richter scale earthquake in Delhi - #India and Karachi - #Pakistan. Tremors felt in #Dubai, UAE. Hope everyone's safe!",2013-09-24T11:53:12.000Z,,,,:
x,SandraBarrows,https://pbs.twimg.com/media/BU7RFX6CUAA9M8F.jpg,.@UNDP_Pakistan I'm watching the Social Good Summit Live: http://t.co/angbm8Kcf6 #2030NOW #Pakistan #Islamabad #socialmedia,2013-09-24T11:53:58.000Z,,Pakistan,70,30.0:
x,SeuAssis,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,RT @RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T11:54:34.000Z,,,,:
x,Salman_Nizamani,https://pbs.twimg.com/media/BU7RLkhCYAE8QM_.png,"RT @AamirRaz: Not just in #Karachi, tremors jolt other parts of #Sindh, too. #earthquake",2013-09-24T11:54:42.000Z,,Pakistan,70,30.0:
x,ebaikh,https://pbs.twimg.com/media/BU7M1rpCUAAZWLz.png,I was sleeping. Just woke up after my aunt came to tell. Didn't feel anything. #Earthquake #Karachi.,2013-09-24T11:54:13.000Z,,,,:
x,punjabinik,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,RT @RT_com: BREAKING: Shaking felt across region as 7.8 magnitude quake hits Baluchistan province in #Pakistan - USGS http://t.co/fmytyHEJf4,2013-09-24T11:54:55.000Z,,,,:
x,AHFarooqui,https://pbs.twimg.com/media/BU7RLkhCYAE8QM_.png,Musalmaano Sudhar jao .... #Earthquake,2013-09-24T11:54:52.000Z,Punjab,Pakistan,74.34361,31.54972:
x,HariMirchein,https://scontent-b-ord.xx.fbcdn.net/hphotos-ash4/q71/1374126_692935864067236_564938578_n.jpg,"RT @NewEarthquake 7.4 #earthquake, 69km NNE of Awaran, Pakistan. Sep 24 16:29 at epicenter (19m ago, depth 23km). http://t.co/su5iECIv7O",2013-09-24T11:54:28.000Z,,,,:
x,Pk_News_alert,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,"Earthquake jolts #Karachi, other parts of #Pakistan | #PakistanAlert http://t.co/AFHYbTVdlD",2013-09-24T11:55:08.000Z,,,,:
x,hazaryildirim,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,RT @RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T11:55:27.000Z,Istanbul,Turkey,28.98331,41.03508:
x,JadeerAnsari1,https://pbs.twimg.com/media/BU7RgTyCQAANwRk.jpg,RT @pharhansuhail: #Earthquake at Horizon Tower #clifton #Karachi #panorama http://t.co/B4wlxXCAGC,2013-09-24T11:55:01.000Z,Sindh,Pakistan,67.0822,24.9056:
x,pthemissionary,https://pbs.twimg.com/media/BU7RLkhCYAE8QM_.png,"Pak. where they murdered n church Sun, 7.8 is HUGE MT @RT_com BREAKING Shaking felt across region as 7.8 magnitude quake hits...in #Pakistan",2013-09-24T11:55:29.000Z,,,,:
x,stenorkunst,http://d3j5vwomefv46c.cloudfront.net/photos/large/810834194.jpg?1380023528,RT @LastQuake: felt #earthquake M7.2 strikes 266 km W of #L_Ñ¬Årk_Ñ¬Åna (#Pakistan) 23 min ago. Please report to: http://t.co/NOip61cFM7  http://_¢‚Ç¨¬¶,2013-09-24T11:55:57.000Z,North Rhine-Westphalia,Germany,7.1002,50.73616:
x,Marina_AgN,https://pbs.twimg.com/media/BU7Q0xWCEAAUXkG.jpg,cc @Ignatios_Dalton RT @LastQuake #earthquake M7.2 strikes 266 km W of #L_Ñ¬Årk_Ñ¬Åna (#Pakistan) http://t.co/5tgVmQZiTW  http://t.co/RpA7hIGobC,2013-09-24T11:55:20.000Z,Crete,Greece,24.89502,35.15585:
x,Takhaan,https://pbs.twimg.com/media/BU7RLkhCYAE8QM_.png,RT @Karachies: Tremors In #Karachi #Hyderabad #Thatta #Sindh #Pakistan http://t.co/dIH7zw4xw2,2013-09-24T11:55:18.000Z,,,,:
x,shariqa_ahmed,https://pbs.twimg.com/media/BU7Rkl1CIAAkqaV.jpg,RT @Takhaan: MQM is responsible for #EarthQuake - Imran Khan,2013-09-24T11:55:04.000Z,Sindh,Pakistan,67.0822,24.9056:
x,murtaza352,https://pbs.twimg.com/media/BUyX3YlCMAAVwHw.jpg,Zalzala #earthquake #karachi,2013-09-24T11:55:21.000Z,Sindh,Pakistan,67.0822,24.9056:
x,54noori,https://scontent-b-ord.xx.fbcdn.net/hphotos-prn2/s720x720/1255200_560826790649250_372858059_n.png,RT @shariqa_ahmed: RT @WasayJalil: #Karachi mein bhee Zalzalay  Kay jhatkay mehsoos kiay gai Qasam say #MQM ka is say koi talluq Nahi hay #_¢‚Ç¨¬¶,2013-09-24T11:55:58.000Z,,,,:
x,rahila_ghazal,https://pbs.twimg.com/media/BU7RLkhCYAE8QM_.png,A Symbolic #Kashmir Walk on #Pakistan Defense Day in #Islamabad http://t.co/i3gshJjCje  http://t.co/hfKBlD3b6X  http://t.co/4uuWZKi93A #YFK,2013-09-24T11:55:09.000Z,Isl_Ñ¬Åm_Ñ¬Åb_Ñ¬Åd,Pakistan,73.04329,33.72148:
x,NadiaWadud,https://pbs.twimg.com/media/BU7Q0xWCEAAUXkG.jpg,"RT @AnjumKiani: Epicentre of Earthquake is Dalbandin, Balochistan. #Pakistan http://t.co/NBgOYvajlH",2013-09-24T11:55:38.000Z,,Pakistan,70,30.0:
x,damienwalshe99,http://d3j5vwomefv46c.cloudfront.net/photos/large/810834665.png?1380023654,RT @RT_com: BREAKING: 7.8 magnitude quake strikes #Pakistan DETAILS TO FOLLOW,2013-09-24T11:56:05.000Z,,,,:
x,bohotsaara,http://d3j5vwomefv46c.cloudfront.net/photos/large/810834998.jpg?1380023741,"RT @raiseqalam: #earthquake in #Karachi 7.7 magnitude media say 10 km depth, and 212 km",2013-09-24T11:56:45.000Z,,,,:
x,afzaal_k,https://pbs.twimg.com/media/BU7PHGICMAAN_5O.jpg,RT @Shahidmasooddr: Reports of casualties from Balochistan! #Earthquake,2013-09-24T11:56:43.000Z,,Canada,-113.64258,60.10867:
x,WALIFAQIHCELL,https://pbs.twimg.com/media/BU7R0PVCIAAOTPq.jpg,"RT@WALIFAQIHCELL:Namaz e Ayat Alert&gt;Khi Samait Mulk K Mukhtalif Hison Mai Zalzaly K Jhatke,Mominin Kasrat Se Astagfar Krain #EarthQuake",2013-09-24T11:56:15.000Z,,,,:
x,RokhaN_,https://pbs.twimg.com/media/BU7R1AtCcAAZQ_l.jpg,RT @Shahidmasooddr: Reports of casualties from Balochistan! #Earthquake,2013-09-24T11:56:43.000Z,Alabama,United States,-86.80249,33.52066:
x,KarrieKehoe,https://pbs.twimg.com/media/BU7Q0xWCEAAUXkG.jpg,RT @nitabhalla: Details on the #quake GDACS says 7.5M and 10 KM depth  http://t.co/ayrTLOCUay  #pakistan #baluchistan #india #earthquake,2013-09-24T11:56:50.000Z,,,,:
x,mj_lynch,https://pbs.twimg.com/media/BU7QyuoCcAApNcX.jpg,"RT @AyeshaHasan: I felt the tremor in #Karachi. RT @NewEarthquake: 7.4 #earthquake, 69km NNE of Awaran, #Pakistan http://t.co/4lsukF4YUg",2013-09-24T11:57:02.000Z,,Australia,135,-25.0:
x,maguedrefaat,https://pbs.twimg.com/media/BU7RLkhCYAE8QM_.png,RT @Shorouk_News: #_ò¬ß_ô‚Äû_ò¬¥_ò¬±_ôÀÜ_ô‚Äö | _ô‚Ä°_ò¬__ò¬© _ò¬£_ò¬±_ò¬__ô_†_ò¬© _ò¬®_ô‚Äö_ôÀÜ_ò¬© 7.8 _ò¬__ô‚Äû_ô‚Ä_ _ô‚Ä¶_ô‚Äö_ô_†_ò¬ß_ò¬_ _ò¬±_ò¬Æ_ò¬™_ò¬± _ò¬™_ò¬__ò¬±_ò¬® #_ò¬®_ò¬ß_ô_í_ò¬__ò¬™_ò¬ß_ô‚Ä†#Pakistan,2013-09-24T11:57:30.000Z,,Egypt,30,27.0:
x,phycelghos,https://pbs.twimg.com/media/BU7QX4LCEAAb7Xh.jpg,Felt #earthquake  jolts in #Karachi ... Right now!,2013-09-24T11:57:15.000Z,,,,:
x,hijazi_adeel,https://pbs.twimg.com/media/BU7PHGICMAAN_5O.jpg,RT @Shahidmasooddr: Reports of casualties from Balochistan! #Earthquake,2013-09-24T11:57:51.000Z,,,,:
x,faisal_hayyat,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,@maruikhan Its SERIOUS :Pthere are reports regarding casualities in #Balochistan,2013-09-24T11:58:05.000Z,Punjab,Pakistan,74.34361,31.54972:
x,linaginting2,https://pbs.twimg.com/media/BU7SggPCYAAPhsX.jpg,RT @RT_com: UPDATE: 7.4 quake strikes southwestern #Pakistan with tremors felt across region and as far as Delhi http://t.co/fmytyHEJf4,2013-09-24T11:59:54.000Z,West Java,Indonesia,107.5,-6.75:
x,AnonLulzOps,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,RT @RT_com: UPDATE: 7.4 quake strikes southwestern #Pakistan with tremors felt across region and as far as Delhi http://t.co/fmytyHEJf4,2013-09-24T11:59:55.000Z,,,,:
x,abdullahyounas,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn1/50213_558055487593047_161113075_q.jpg,Hope everyone is safe in #Karachi and surrounding areas. #Earthquake.,2013-09-24T11:59:26.000Z,,Pakistan,70,30.0:
